M17	The WOOD element (木) as a gentle young man: small antlers, moss and young leaves growing along his shoulders, soft warm smile, forest light through leaves. Palette: fresh green, bark brown, dappled gold, moss.
M18	The FIRE element (火) as a passionate young man: red-orange hair lifting like flame, embers on his skin, fierce open grin. Palette: flame orange, crimson, ember gold, charcoal black.
M19	The EARTH element (土) as a broad reassuring young man: earthen browns, clay ornaments, calm dependable smile, warm afternoon field. Palette: terracotta, wheat gold, warm brown, sage.
M20	The METAL element (金) as a cold beautiful young man: silver hair, metal ornaments, a blade's edge reflected across his eye, expression severe. Palette: steel silver, white, cold blue-grey, one gold accent.
M21	The WATER element (水) as a melancholy young man: deep navy hair, water beading on his skin, rain falling, eyes full of quiet sorrow. Palette: deep navy, rain grey, translucent blue, silver.
M22	A young Joseon military officer drawing a horn bow, muscular but fully armored, focused and unflinching, arrow nocked. Battlefield dusk. Palette: leather brown, lacquer black, dusk crimson, brass.
M23	A pure and elegant young scholar in immaculate white 도포, holding a closed book, faint distant smile, plum blossoms falling. Refined, delicate handsome. Palette: paper white, ink black, plum pink, jade.
M24	A dreaming young musician playing a 대금 bamboo flute, eyes closed, sound rendered as pale drifting light ribbons. Serene, romantic. Palette: dusk violet, bamboo green, pale gold light, deep blue.
M25	A languid male fox spirit with fox ears and a single tail, half-lidded seductive eyes, lounging against a moonlit railing, teasing smirk. Palette: dark plum, fox russet, moon silver, warm skin.
M26	The SNAKE (巳) as a sinuous young man: slit pupils, jade-green scales along his temples, coiled posture, dangerous alluring smile. Palette: jade green, black, gold, venom yellow-green.
M27	The HORSE (午) as a free-spirited young man with a wild red mane of hair, wind-blown, laughing openly, running under an open sky. Palette: chestnut red, sky blue, sun gold, grass green.
M28	The TIGER (寅) as an overwhelming young man mid-roar, tiger-striped mantle, fangs bared, raw power. Palette: tiger orange, black stripe, jungle dark green, gold.
M29	The DRAGON (辰) as an emperor-like young man: golden horns, imperial gold robes, a dragon coiling in the clouds behind him. Absolute authority. Palette: imperial gold, cinnabar, cloud white, deep azure.
M30	A boyish young 도깨비 apprentice, small horns, oversized robe, huge bright laughing eyes, holding a glowing coin. Cute and energetic rather than sexy. Palette: bright teal, warm yellow, festival red, cream.
F02	A female grim reaper in a CRIMSON RED Joseon robe and black veil-hat, a long curved scythe resting on her shoulder. Merciless calm, red eyes, black lipstick. Red spirit flames in the void. Palette: blood crimson, obsidian, cold silver, ember gold.
F03	The young female clerk of the underworld records, jet-black official robes, holding an enormous ledger open, reading glasses of black gauze. Coolly intelligent, unimpressed. Endless dark archive. Palette: ink black, parchment cream, brass, one red seal.
F04	A sorrowful young woman at a black river holding a paper lantern, wet hair, white mourning hanbok, gazing off. Heartbreaking beauty. Mist and drifting lanterns. Palette: fog grey, bone white, lantern amber, black water.
F05	A grand female shaman (만신) in a magnificent multicolored ceremonial robe, brass bells raised, commanding presence, fierce eyes. Ritual fire and streamers. Palette: five-color 오방색 red blue yellow white black, brass gold.
F06	A young shaman initiate in a plain white 소복, barefoot, clutching a bell, wide frightened luminous eyes, trembling. Fragile heartbreaking beauty. Cold dawn. Palette: white, pale blue, ash, one drop of red.
F07	A female shaman in ecstatic trance on ceremonial blades, white robes and long hair streaming upward, head thrown back, rapturous expression. Palette: white, silver, storm grey, thread of red.
F08	A celestial maiden (선녀) descending on layered gauze silks, cloud and light around her, serene otherworldly beauty, faint smile. Palette: cloud white, celestial pink, jade green, pale gold.
F09	The Weaver Girl (직녀) at a loom of starlight, threads of the Milky Way running through her fingers, longing in her eyes. Palette: night indigo, starlight silver, loom gold, soft violet.
F10	The lady of the moon, seated in perfect stillness against a huge full moon, a white rabbit at her side, hair like ink. Quiet, remote, luminous. Palette: moon white, deep blue-black, silver, faint jade.
F11	An attendant of the Queen Mother of the West holding a peach of immortality, heavy gold headdress and jewels, opulent and proud. Palette: peach pink, imperial gold, jade green, ruby.
F12	The blue bird messenger (청조) as a young woman with brilliant azure feathered mantle, mid-flight, letter in hand, swift and bright-eyed. Palette: azure, cobalt, white cloud, gold beak-gilt accents.
F13	A white serpent spirit as a young woman: pale skin, white scales tracing her jaw, red slit eyes, hypnotic smile. Coiled white silk. Palette: bone white, blood red, pearl, cold grey.
F14	A beautiful drowned spirit rising from still water, soaked black hair, white robes clinging, sorrowful pleading eyes. Tragic, not gruesome. Palette: drowned green-black, pale skin, moon white, deep teal.
F15	A female 이무기 with black scales climbing her throat, half-formed horns, ferocious ambition burning in her eyes, storm behind her. Palette: obsidian, storm violet, lightning white, gold.
F16	The WOOD element (木) as a young woman crowned with living flowers and vines, gentle life-giving smile, spring forest. Palette: leaf green, blossom pink, bark brown, sunlight gold.
F17	The FIRE element (火) as a fierce young woman with flame-red hair rising, embers around her, blazing confident laugh. Palette: flame orange, crimson, gold, charcoal.
F18	The EARTH element (土) as a warm generous young woman in earthen tones with clay beads, kind steady smile, harvest field. Palette: terracotta, wheat, warm brown, sage green.
F19	The METAL element (金) as a razor-sharp young woman: silver hair, a slender blade held vertical before her face, ice-cold gaze. Palette: steel silver, white, cold blue, one gold.
F20	The WATER element (水) as a melancholy young woman: deep blue hair, rain running down, distant sorrowful eyes. Palette: deep navy, rain grey, translucent blue, silver.
F21	A court dancer mid-spin, enormous flowing sleeves painting arcs of color through the air, joyous. Palette: 오방색 five colors, gold thread, lacquer black, ivory.
F22	A female swordswoman in dark hunting hanbok drawing a straight blade, hair bound tight, absolutely resolute. Rain. Palette: charcoal, steel, deep green, blood red accent.
F23	A refined noble young lady half-hiding her face behind a painted fan, only her knowing eyes visible, secretive smile. Palette: silk ivory, plum, jade, gold leaf.
F24	A cheeky young female fortune teller shaking a bamboo divination canister, tongue slightly out, playful wink. Market stall lanterns. Palette: warm red, bamboo, lantern gold, night blue.
F25	A bright young fox girl with fox ears and two tails, wide delighted grin, holding a stolen rice cake. Cute and energetic. Palette: fox orange, cream, autumn red, warm brown.
F26	The SNAKE (巳) as an enchanting young woman: slit pupils, emerald scales at her temples, languid coiled posture, dangerous smile. Palette: emerald, black, gold, venom green.
F27	The RABBIT (卯) as a soft young woman under a full moon, long rabbit ears, mortar and pestle, dreamy gentle expression. Palette: moon white, pale lavender, soft grey, blush.
F28	The ROOSTER (酉) as a haughty young woman with a crimson crest motif in her hair, magnificent feathered collar, chin raised, disdainful. Palette: crimson, iridescent green-black, gold, dawn orange.
F29	The RAT (子) as a small clever young woman, quick bright eyes, oversized dark cloak, counting coins, sly grin. Palette: charcoal, silver coin, warm lamp gold, deep plum.
F30	A veiled young woman in black gauze covering the lower half of her face, only sharp smiling eyes visible, gold ornaments, unreadable and dangerous. Palette: black, antique gold, deep wine red, pale skin.
